,link,yt_id,title,transcript,views,time_uploaded,tokens,author,data_import_date
84,https://www.youtube.com/shorts/CuRxFfRG7lA,x,Jab mai elon musk banjaunga 🔥 | The most viral comedy 😎 #shorts #ytshorts,x, 541 981 ,19.0,x,https://www.youtube.com/@ElonMuskZone,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
85,https://www.youtube.com/watch?v=38WeOmW2T5U,x,It Happened Finally! Apple Just Got Warned by Elon Musk!,x, 4030 ,72.1,x,https://www.youtube.com/@TomNashTV,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
86,https://www.youtube.com/watch?v=JD-2AMQ1unk,x,Joe Rogan: REAL Reason Elon Musk Bought Twitter?! GOOD or BAD?!,x, 428 847 ,192.11666666666667,x,https://www.youtube.com/@bihariladka,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
87,https://www.youtube.com/shorts/Yo8UODHymSw,x,Russian Authorities Are the Reason Elon Musk Created SpaceX🚀,x, 369 428 ,96.0,x,https://www.youtube.com/@DBBusinessChannel,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
88,https://www.youtube.com/watch?v=cRJkp6DJK_Y,x,Elon Musk Just EXPOSED Kamala Harris' Corruption!,x, 473 627 ,192.15,x,https://www.youtube.com/@JREDailyClips,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
89,https://www.youtube.com/watch?v=XurSqQKp4Ds,x,Elon Musk Acabou De Enviar Uma Mensagem Aterrorizante Antes De Ser Rapidamente Excluída Da Internet,x, 32 085 ,120.18333333333334,x,https://www.youtube.com/@OurFuture,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
90,https://www.youtube.com/watch?v=WfJAStE7G2U,x,Vladimir Putin JUST DESTROYED Elon Musk’s SpaceX All Satellites,x, 6547 ,96.15,x,https://www.youtube.com/@elonmusknow,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
91,https://www.youtube.com/watch?v=fXS_gkWAIs0,x,"Elon Musk Reveals His Knowledge on Aliens, Challenges Putin to UFC, and Predicts WW3",x, 15 544 251 ,3603.2,x,https://www.youtube.com/@futureunitypt1439,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
148,https://www.youtube.com/watch?v=kmmMwQZdZY0,x,Elon Musk Just Revealed That Space X Keeps Detecting Something Massive During Their Missions,x, 130 374 ,120.28333333333333,x,https://www.youtube.com/@ElonMuskTodayOfficial,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
149,https://www.youtube.com/watch?v=l9awyMBxRMQ,x,Elon Musk The Unstoppable,x, 182 919 ,720.05,x,https://www.youtube.com/@FULLSENDPODCAST,"time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=23, tm_min=24, tm_sec=12, tm_wday=1, tm_yday=17, tm_isdst=0)"
